Packet no,Latency(ms)
1,55.91630936
2,39.31903839
3,41.37945175
4,42.27161407
5,141.9048309
6,39.26753998
7,40.26937485
8,39.32332993
9,40.33517838
10,42.27161407
11,39.37005997
12,39.62469101
13,40.26842117
14,39.43634033
15,40.26603699
16,38.43355179
17,40.30799866
18,39.30187225
19,38.27095032
20,40.20881653
21,41.84818268
22,39.45350647
23,41.33844376
24,51.55897141
25,42.28305817
26,35.2973938
27,34.32703018
28,35.95733643
29,41.58401489
30,81.51054382
31,39.29138184
32,121.0255623
33,38.29717636
34,39.26467896
35,39.50834274
36,39.33095932
37,33.33282471
38,39.39342499
39,39.32189941
40,41.20397568
41,40.2264595
42,42.32740402
43,39.26563263
44,38.65814209
45,39.26372528
46,40.33327103
47,42.36793518
48,39.81304169
49,42.25206375
50,39.70336914
51,39.75152969
52,40.34471512
53,41.28599167
54,39.62564468
55,43.45464706
56,39.34669495
57,39.48068619
58,39.2947197
59,42.52004623
60,34.35611725
61,55.02891541
62,149.116993
63,105.5212021
64,55.48810959
65,60.25838852
66,37.52946854
67,34.00611877
68,35.25543213
69,48.78330231
70,53.04193497
71,40.43674469
72,40.38667679
73,196.6509819
74,40.19880295
75,42.71411896
76,40.29941559
77,40.38190842
78,52.22129822
79,40.3213501
80,86.59267426
81,41.2774086
82,40.25220871
83,43.40791702
84,41.87631607
85,38.36965561
86,42.39463806
87,40.2340889
88,40.38000107
89,39.31570053
90,39.4692421
91,39.36338425
92,39.72244263
93,39.36481476
94,41.31937027
95,42.075634
96,37.2376442
97,34.51251984
98,41.38946533
99,39.89028931
100,40.38572311
